Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Label
0.9894773,0.40807256,0.77521574,0.0,0.7285521,0.31514797,0.4346442,0.0,0.7651533,0.5453899,0.36524156,0.0,0.5236134,0.037336133,0.053240355,0.0,-0.01101599,-0.2162879,-0.44661194,0.0,1
0.7087358,0.4170153,0.55129087,0.0,0.7642354,0.3481784,0.42599183,0.0,0.9967889,0.6606917,0.5112276,0.0,0.50101835,0.09186749,-0.029230174,0.0,0.114342354,-0.35958165,-0.42974514,0.0,1
0.6800784,0.53575516,0.9729933,0.0,0.6843079,0.13791418,0.43079972,0.0,0.8636488,0.4742914,0.52248704,0.0,0.45586792,0.113562614,-0.043981235,0.0,0.41277155,-0.3686059,-0.3794708,0.0,1
0.21207029,1.2700815,1.4592891,0.0,0.57150614,0.77888936,1.1495816,0.0,0.8977609,0.5455349,0.9463488,0.0,0.6651448,0.09340708,-0.019215662,0.0,-0.12794176,-0.2028568,-0.36794782,0.0,1
0.13704565,0.87102723,1.0728304,0.0,0.74512273,0.49950936,0.76695883,0.0,1.2528926,0.571771,0.94078296,0.0,0.6291783,-0.06135093,-0.09388518,0.0,-0.076360874,-0.2518388,-0.41921246,0.0,1
-0.037835877,0.3540434,0.18867114,0.0,0.86323416,0.2359839,-0.21478653,0.0,1.2866665,0.35619426,0.5488426,0.0,0.5526583,-0.21017809,-0.15553577,0.0,0.11793155,-0.29980314,-0.28514552,0.0,1
-0.30080476,0.649547,0.4523394,0.0,0.59094787,0.44066644,-0.030032814,0.0,1.0140345,0.1393146,0.5333769,0.0,0.47588977,-0.24858087,-0.20283476,0.0,0.28160962,-0.20184386,-0.23692311,0.0,1
0.85958827,0.43890974,0.7685182,0.0,0.91235745,0.40015948,0.5362273,0.0,0.86824846,0.28917322,0.81837523,0.0,0.54406446,0.050347675,0.27228138,0.0,0.09688131,-0.25575125,-0.07495311,0.0,1
1.3849022,0.71100587,1.17287,0.0,1.1886883,0.4147375,0.85704374,0.0,1.0784901,0.28917322,0.81837523,0.0,0.44398242,0.08394372,0.3773517,0.0,0.16361283,-0.21880533,0.0101407105,0.0,1
0.95780426,0.8871971,0.82308763,0.0,0.7017707,0.6162058,0.7367192,0.0,0.628959,0.28951526,0.58567613,0.0,0.6302102,0.07952857,0.1426456,0.0,0.18868537,-0.3768646,-0.14437589,0.0,1
0.88010705,1.0063242,0.96744025,0.0,0.60762,0.72821367,0.89905614,0.0,1.0098456,0.36656794,0.58567613,0.0,0.47192255,0.12544218,0.15323734,0.0,0.17992418,-0.3822366,-0.13576774,0.0,1
1.1676985,1.1248205,0.96744025,0.0,0.9181438,0.92793417,0.89905614,0.0,0.9454062,0.47004306,0.58567613,0.0,0.4553759,0.04474524,0.15323734,0.0,0.087549746,-0.37135997,-0.13576774,0.0,1
1.2976251,1.3327489,0.96744025,0.0,1.0212361,1.1286715,0.89905614,0.0,0.8705537,0.45545912,0.58567613,0.0,0.52899045,0.07686042,0.15323734,0.0,0.12506497,-0.34095517,-0.13576774,0.0,1
1.2976251,1.3327489,0.9757796,0.0,1.0212361,1.1286715,0.03572927,0.0,0.8705537,0.45545912,0.26462665,0.0,0.52899045,0.07686042,0.16751622,0.0,0.12506497,-0.34095517,-0.50182027,0.0,1
0.15069287,1.142541,0.8716785,0.0,0.4533319,0.4810766,0.19223452,0.0,0.9471646,0.45234722,0.48741958,0.0,0.36389896,0.13975292,0.07744567,0.0,0.119583264,-0.2721668,-0.45650294,0.0,1
0.15069287,1.3481078,0.58825284,0.0,0.4533319,0.7220436,0.48229873,0.0,0.9471646,0.36377913,0.29615256,0.0,0.36389896,0.03640362,0.12254492,0.0,0.119583264,-0.34811744,-0.26269588,0.0,1
0.15069287,0.87677896,1.0263344,0.0,0.4533319,0.540367,0.16253674,0.0,0.9471646,0.089085855,0.47416002,0.0,0.36389896,0.063402474,0.030885315,0.0,0.119583264,-0.5031514,-0.25683257,0.0,1
0.15069287,1.100283,1.0646635,0.0,0.4533319,0.5330052,0.60074675,0.0,0.9471646,0.26312456,0.6615993,0.0,0.36389896,-0.16279556,0.04162428,0.0,0.119583264,-0.3517451,-0.1965994,0.0,1
0.72783345,0.8270441,0.04025265,0.0,1.5447909,1.0142204,0.6071751,0.0,1.5272641,0.60066444,0.61692417,0.0,0.5910786,-0.1201413,-0.06241858,0.0,0.1036373,-0.26456812,-0.025950681,0.0,1
0.7107436,0.24523117,0.69530517,0.0,1.4022853,0.92302746,0.6180165,0.0,1.5316906,0.51373255,0.6493006,0.0,0.4591945,-0.1957447,0.11638641,0.0,0.09656536,-0.4372062,-0.1237453,0.0,1
0.55528957,0.17452167,0.42130196,0.0,0.58762455,0.2580755,0.34973502,0.0,1.0071311,0.4196437,0.4533491,0.0,0.3498837,-0.13047723,-0.031883445,0.0,-0.016033513,-0.52967775,-0.37466916,0.0,1
-0.059220713,0.49778685,0.42860943,0.0,0.24451588,0.019700646,0.4108169,0.0,0.5965217,-0.012878878,-0.056132935,0.0,0.3338545,-0.005339897,-0.18614054,0.0,0.020979352,-0.3093644,-0.4957993,0.0,1
-0.059220713,0.61792016,0.5817646,0.0,0.24451588,0.50755644,0.52052456,0.0,0.5965217,0.3435708,-0.073474385,0.0,0.3338545,-0.021922195,-0.19930717,0.0,0.020979352,-0.46872127,-0.44589454,0.0,1
-0.059220713,0.7800402,0.5817646,0.0,0.24451588,0.46666932,0.52052456,0.0,0.5965217,0.3360278,-0.073474385,0.0,0.3338545,-0.024055475,-0.19930717,0.0,0.020979352,-0.37401304,-0.44589454,0.0,1
-0.059220713,0.5658149,0.5817646,0.0,0.24451588,0.2738415,0.52052456,0.0,0.5965217,-0.2279094,-0.073474385,0.0,0.3338545,-0.23501919,-0.19930717,0.0,0.020979352,-0.048108432,-0.44589454,0.0,1
1.3474714,0.369584,0.6469476,0.0,0.8739049,0.56192845,0.489905,0.0,0.9349359,0.17052846,0.602045,0.0,0.5433531,0.26006436,0.5107469,0.0,0.2902904,-0.15655376,0.051881824,0.0,0
1.3479143,0.369584,0.40205494,0.0,1.5042696,0.56192845,0.3813037,0.0,0.99384886,0.17052846,0.6680295,0.0,0.4625812,0.26006436,0.2995481,0.0,-0.003937476,-0.15655376,-0.12931176,0.0,0
1.4359636,0.9372719,0.35253692,0.0,1.4076071,0.7292277,0.51932347,0.0,0.76070696,0.48773256,0.45747393,0.0,0.38146523,0.501245,0.28067213,0.0,-0.030907389,0.02375844,-0.19252071,0.0,0
1.4359636,0.9372719,0.90281475,0.0,1.4076071,0.7292277,0.39563033,0.0,0.76070696,0.48773256,0.61416453,0.0,0.38146523,0.501245,0.28542307,0.0,-0.030907389,0.02375844,-0.19092914,0.0,0
0.96136856,0.46078902,0.938182,0.0,0.48918754,0.65717953,0.28354695,0.0,1.2087188,0.7927684,0.6100188,0.0,0.5406611,0.6572282,0.29177842,0.0,0.07324488,-0.0298285,-0.07510115,0.0,0
0.72373074,0.70952576,0.52140456,0.0,0.67283934,0.8400746,0.13250814,0.0,1.5208222,0.9575202,0.48383778,0.0,0.56293607,0.84643763,0.09334399,0.0,-0.028967341,0.07267703,-0.32188442,0.0,0
0.79675525,0.92751616,0.38852182,0.0,0.93564343,0.8251523,0.22984378,0.0,1.4715935,0.6082029,0.4526937,0.0,0.40579814,0.5728172,0.17698921,0.0,-0.021984702,-0.039087772,-0.08001342,0.0,0
0.91233444,0.9958512,0.5720454,0.0,0.9676133,0.8357323,0.40870804,0.0,1.3354806,0.594815,0.15315154,0.0,0.44782823,0.25246513,0.3448098,0.0,0.11285237,0.04760225,-0.12944299,0.0,0
0.95607585,0.9223167,0.8378796,0.0,0.9900369,0.8032941,0.28225815,0.0,0.9734169,0.6733135,0.53544974,0.0,0.53230864,0.54791427,0.14881836,0.0,-0.19932365,0.12720785,-0.30263552,0.0,0
0.57285935,0.9571567,0.5084273,0.0,0.7999975,0.88896793,0.6322581,0.0,1.0766872,0.9488309,0.59583485,0.0,0.60205245,0.5566874,0.10799866,0.0,-0.072168164,-0.009456058,-0.19938391,0.0,0
0.5598323,0.99895734,0.3620835,0.0,0.91238433,0.7649622,0.5742236,0.0,0.89210355,0.94300044,0.50818723,0.0,0.58415455,0.6267689,0.038904034,0.0,-0.13452801,-0.032956515,-0.23222983,0.0,0
1.0278175,0.94372827,0.41844475,0.0,0.5615589,0.7710705,0.2532232,0.0,1.095896,0.9254361,0.60762614,0.0,0.4430721,0.7899187,0.20291299,0.0,0.10055032,0.1850499,-0.0058076065,0.0,0
1.481004,0.7030299,0.3989664,0.0,0.7762781,0.9095474,0.48664576,0.0,1.3277069,0.8945713,0.67554367,0.0,0.5037318,0.6832493,0.21102755,0.0,-0.030085154,0.24062777,-0.14417022,0.0,0
1.0609608,0.9315265,0.5165292,0.0,0.6968318,1.2036452,0.42883077,0.0,1.2704033,1.1336989,0.6752704,0.0,0.4163451,0.8819989,0.10816955,0.0,0.05552005,0.035942104,-0.18345264,0.0,0
